match_id,date,gameweek,home_team,away_team,home_score,away_score,result,home_xg_margin_vs_avg,away_xg_margin_vs_avg,xg_margin_diff,home_momentum_margin_vs_avg,away_momentum_margin_vs_avg,momentum_margin_diff,home_avg_possession_start_x,away_avg_possession_start_x,possession_start_x_diff,home_avg_possession_end_x,away_avg_possession_end_x,possession_end_x_diff,home_xg_start_position_residual,away_xg_start_position_residual,xg_start_position_residual_diff
4813374,2025-08-15,1,Liverpool,Bournemouth,4,2,home_win,0.49441008479334414,0.44097209232859313,0.053437992464751005,543.625,-23.625,567.25,46.72797686917459,54.709625496041085,-7.981648626866495,45.60031126265595,54.46846680358572,-8.86815554092977,-0.01425309153088134,-0.01270302903525024,-0.0015500624956311
4813375,2025-08-16,1,Aston Villa,Newcastle,0,0,draw,-0.9659128185594454,0.5852059280732647,-1.55111874663271,92.375,136.125,-43.75,14.811073587699997,40.066686219855995,-25.255612632155998,16.511871013577494,41.470357440322,-24.958486426744503,-0.02025515899033378,-0.013381672013856863,-0.0068734869764769165
4813376,2025-08-16,1,Brighton,Fulham,1,1,draw,-0.1032371143810451,0.15423734113574028,-0.2574744555167854,-196.125,-24.875,-171.25,47.23561445237897,67.0647440183,-19.829129565921036,47.677451689660536,66.10125946104866,-18.42380777138812,0.013119133278473671,0.011718372406980255,0.0014007608714934165
4813378,2025-08-16,1,Sunderland,West Ham,3,0,home_win,-0.2682360385078937,-0.48665522900409997,0.21841919049620628,-105.625,-152.125,46.5,66.2360817682,31.55801624693571,34.67806552126429,67.90982831801665,30.797589244566666,37.112239073449985,-0.03518947579488647,-0.014447550716498725,-0.020741925078387742
4813379,2025-08-16,1,Tottenham,Burnley,3,0,home_win,0.04755413229577243,-1.1163001160603017,1.163854248356074,137.125,-787.625,924.75,61.9327887957936,10.910440418348392,51.022348377445205,63.103421935882956,13.21001708390968,49.89340485197327,-0.003685925942366268,0.013907338978926443,-0.017593264921292713
4813380,2025-08-16,1,Wolves,Man City,0,4,away_win,-1.1519501109141856,0.956979215843603,-2.1089293267577887,-465.375,310.625,-776.0,63.21383515591143,67.172959491662,-3.959124335750566,64.18611119151714,68.49105282227399,-4.3049416307568436,-0.033332273374251334,0.06062115341791399,-0.09395342679216533
4813381,2025-08-17,1,Chelsea,Crystal Palace,0,0,draw,0.8339478748384863,0.33328312798403203,0.5006647468544543,541.625,-392.375,934.0,68.70650871588138,22.55833111462632,46.148177601255064,70.57445642101696,22.43781750304211,48.13663891797485,0.011138898879056901,0.04530134351959783,-0.034162444640540926
4813377,2025-08-17,1,Nottm Forest,Brentford,3,1,home_win,-0.3954760960768908,-0.257826270069927,-0.13764982600696385,-10.625,-520.125,509.5,29.678947682780557,89.85392421056127,-60.174976527780714,30.85128281773889,94.06120515428708,-63.20992233654819,0.0035973147107366942,0.01253812191210721,-0.008940807201370516
4813382,2025-08-17,1,Man United,Arsenal,0,1,away_win,-0.07524012331850827,0.8256910950876772,-0.9009312184061855,588.875,370.625,218.25,66.1529949721691,77.18374704516604,-11.030752072996947,66.21332166416177,78.75185311353586,-12.53853144937409,-0.010845332882443229,-0.004805442393704733,-0.006039890488738496
4813383,2025-08-18,1,Leeds,Everton,1,0,home_win,-0.3201830571051687,0.468736081616953,-0.7889191387221217,-141.875,99.375,-241.25,11.984305058950001,71.20604218062086,-59.221737121670856,11.71232797226591,72.93566255009792,-61.223334577832006,-0.025898629152640785,0.022618039144503287,-0.04851666829714407
